InscriptionYear,HusbandAge,HusbandPreviousMaritalStatus,HusbandCityBirthPlace,HusbandCountryBirthPlace,HusbandCityResidencePlace,HusbandCountryResidencePlace,HusbandPreviousMarriages,HusbandPreviousChildren,WifeAge,WifePreviousMaritalStatus,WifeCityBirthPlace,WifeCountryBirthPlace,WifeCityResidencePlace,WifeCountryResidencePlace,WifePreviousMarriages,WifePreviousChildren,MarriageDate,MarriagePlace
2013,21,NUNCA SE HA CASADO,MANATI,PUERTO RICO,BARCELONETA,PUERTO RICO,0,0,23,DIVORCIO O ANULACION,MANATI,PUERTO RICO,BARCELONETA,PUERTO RICO,1,0,2/7/13,BARCELONETA
2013,21,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA BAJA,PUERTO RICO,0,0,24,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA BAJA,PUERTO RICO,0,0,9/8/13,VEGA ALTA
2013,36,NUNCA SE HA CASADO,NEW JERSEY,ESTADOS UNIDOS,NEW JERSEY,ESTADOS UNIDOS,0,0,34,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,NEW JERSEY,ESTADOS UNIDOS,0,0,11/7/13,LUQUILLO
2013,29,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,ARECIBO,PUERTO RICO,0,0,29,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,LARES,PUERTO RICO,0,0,10/12/13,LARES
2013,32,DIVORCIO O ANULACION,MAYAGUEZ,PUERTO RICO,RINCON,PUERTO RICO,1,2,23,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,AGUADA,PUERTO RICO,0,0,3/2/13,ANASCO
2013,30,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,CIDRA,PUERTO RICO,0,0,20,NUNCA SE HA CASADO,CAYEY,PUERTO RICO,CAYEY,PUERTO RICO,0,0,4/20/13,CAYEY
2013,44,DIVORCIO O ANULACION,SAN JUAN,PUERTO RICO,BARCELONETA,PUERTO RICO,1,1,38,DIVORCIO O ANULACION,MANATI,PUERTO RICO,BARCELONETA,PUERTO RICO,2,2,2/16/13,AGUADILLA
2013,39,NUNCA SE HA CASADO,ARECIBO,PUERTO RICO,QUEBRADILLAS,PUERTO RICO,0,0,39,DIVORCIO O ANULACION,ARECIBO,PUERTO RICO,QUEBRADILLAS,PUERTO RICO,1,2,10/4/13,CAMUY
2013,50,DIVORCIO O ANULACION,NA,GHANA,FLORIDA,ESTADOS UNIDOS,1,2,38,NUNCA SE HA CASADO,AIBONITO,PUERTO RICO,FLORIDA,ESTADOS UNIDOS,0,0,2/9/13,FAJARDO
2013,35,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,33,NUNCA SE HA CASADO,JAYUYA,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,3/14/13,TOA BAJA
2013,21,NUNCA SE HA CASADO,VEGA BAJA,PUERTO RICO,VEGA BAJA,PUERTO RICO,0,0,21,NUNCA SE HA CASADO,MANATI,PUERTO RICO,MANATI,PUERTO RICO,0,0,2/23/13,MANATI
2013,40,DIVORCIO O ANULACION,NA,DOMINICAN REPUBLIC,SAN JUAN,PUERTO RICO,1,0,35,DIVORCIO O ANULACION,NA,DOMINICAN REPUBLIC,SAN JUAN,PUERTO RICO,1,0,3/8/13,SAN JUAN
2013,21,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,TOA ALTA,PUERTO RICO,0,0,19,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,BAYAMON,PUERTO RICO,0,0,11/13/13,BAYAMON
2013,27,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,NEW YORK,ESTADOS UNIDOS,0,0,29,NUNCA SE HA CASADO,NEW JERSEY,ESTADOS UNIDOS,CALIFORNIA,ESTADOS UNIDOS,0,0,5/5/13,SAN JUAN
2013,47,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,TRUJILLO ALTO,PUERTO RICO,1,1,54,DIVORCIO O ANULACION,NEW YORK,ESTADOS UNIDOS,TRUJILLO ALTO,PUERTO RICO,1,3,9/3/13,SAN JUAN
2013,22,NUNCA SE HA CASADO,SAN JUAN,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,21,NUNCA SE HA CASADO,CAROLINA,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,2/9/13,RIO GRANDE
2013,25,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,SABANA GRANDE,PUERTO RICO,0,0,25,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,ANASCO,PUERTO RICO,0,0,1/5/13,MAYAGUEZ
2013,21,NUNCA SE HA CASADO,PONCE,PUERTO RICO,PONCE,PUERTO RICO,0,0,20,NUNCA SE HA CASADO,PONCE,PUERTO RICO,PONCE,PUERTO RICO,0,0,8/10/13,PONCE
2013,30,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,CAGUAS,PUERTO RICO,0,0,24,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,GUAYNABO,PUERTO RICO,0,0,5/25/13,CAGUAS
